Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity)
Accessories,54.11178799999993,3.84
Appliances,38.92275836909873,3.7103004291845494
Art,8.200737437185929,3.7688442211055277
Binders,19.84357406434672,3.9225213394615888
Bookcases,-15.230508771929827,3.807017543859649
Chairs,43.09589351701789,3.8184764991896274
Copiers,817.9091897058831,3.4411764705882355
Envelopes,27.418018503937002,3.5669291338582676
Fasteners,4.3756599078341,4.211981566820277
Furnishings,13.645918077324977,3.723092998955068
Labels,15.236961538461548,3.8461538461538463
Machines,29.43266869565215,3.8260869565217392
Paper,24.85661992700728,3.7795620437956203
Phones,50.07393768278966,3.699662542182227
Storage,25.152277068557925,3.7328605200945626
Supplies,-6.258418421052625,3.405263157894737
Tables,-55.56577147335429,3.890282131661442
